title,price,stock,rating,url
A Light in the Attic,51.77,In stock,1,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Soumission,50.10,In stock,4,https://books.toscrape.com/catalogue/soumission_998/index.html
Sapiens: A Brief History of Humankind,54.23,In stock,1,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,3,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,In stock,1,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,4,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Set Me Free,17.46,In stock,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Rip it Up and Start Again,35.02,In stock,3,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Olio,23.88,In stock,1,https://books.toscrape.com/catalogue/olio_984/index.html
Libertarianism for Beginners,51.33,In stock,2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
In Her Wake,12.84,In stock,2,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,5,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Black Dust,34.53,In stock,3,https://books.toscrape.com/catalogue/black-dust_976/index.html
America&#39;s Cradle of Quarterbacks: Western Pennsylvania&#39;s Football Factory from Johnny Unitas to Joe Montana,22.50,In stock,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
